# z (m), U (m/s), V (m/s), M (m/s), Theta (K), Ri (1)
1.086589071180000019e+02, 7.102108827019414150e+00, 3.050372952788312553e+00, 7.729595902923646733e+00, 2.639280917333574621e+02, 2.031309952513674910e-01
1.101275961340000009e+02, 7.154834587288144476e+00, 3.043078789445232246e+00, 7.775215319860805607e+00, 2.639386286191875115e+02, 2.042754725602294874e-01
1.116040540340000007e+02, 7.207875964715547035e+00, 3.035050940734335345e+00, 7.820937119963959461e+00, 2.639493353152930126e+02, 2.054107018747567681e-01
1.130883219130000015e+02, 7.261234166629839670e+00, 3.026265351788314906e+00, 7.866760010462467534e+00, 2.639602179932859940e+02, 2.065367197170702440e-01
1.145804410829999966e+02, 7.314909984415562505e+00, 3.016696792364897739e+00, 7.912682282364542630e+00, 2.639712831427027595e+02, 2.076535502813612322e-01
1.160804530749999941e+02, 7.368903753415867008e+00, 3.006318787231204936e+00, 7.958701776507027148e+00, 2.639825375952522677e+02, 2.087612044743447359e-01
1.175883996390000021e+02, 7.423215307908765048e+00, 2.995103540949839882e+00, 8.004815845450316658e+00, 2.639939885512892488e+02, 2.098596788105450139e-01
1.191043227459999940e+02, 7.477843930565184039e+00, 2.983021856545077011e+00, 8.051021310729259639e+00, 2.640056436087647853e+02, 2.109489541233912357e-01
1.206282645910000042e+02, 7.532788295594015082e+00, 2.970043047494454580e+00, 8.097314414800269589e+00, 2.640175107949295352e+02, 2.120289942138005035e-01
1.221602675879999964e+02, 7.588046404784209997e+00, 2.956134842408854713e+00, 8.143690767031724675e+00, 2.640295986011157652e+02, 2.130997440688214839e-01
1.237003743799999995e+02, 7.643615515523002557e+00, 2.941263281691842479e+00, 8.190145282974539143e+00, 2.640419160209727352e+02, 2.141611281944065248e-01
1.252486278330000005e+02, 7.699492059544902567e+00, 2.925392605438327465e+00, 8.236672115878988620e+00, 2.640544725925449825e+02, 2.152130483721425014e-01
1.268050710389999978e+02, 7.755671551220339133e+00, 2.908485131694839687e+00, 8.283264579471609323e+00, 2.640672784446837795e+02, 2.162553812777762430e-01
1.283697473199999877e+02, 7.812148483890699602e+00, 2.890501124127775157e+00, 8.329915060752222544e+00, 2.640803443483350179e+02, 2.172879757988875060e-01
1.299427002269999889e+02, 7.868916212355255624e+00, 2.871398648094987571e+00, 8.376614921238621392e+00, 2.640936817732929853e+02, 2.183106498598194889e-01
1.315239735389999964e+02, 7.925966819555824827e+00, 2.851133413938712557e+00, 8.423354385036599723e+00, 2.641073029511422305e+02, 2.193231868121815198e-01
1.331136112689999891e+02, 7.983290965078134960e+00, 2.829658606211402194e+00, 8.470122411755781400e+00, 2.641212209452110073e+02, 2.203253313913337563e-01
1.347116576619999933e+02, 8.040877712546411260e+00, 2.806924697459007412e+00, 8.516906551841184836e+00, 2.641354497284442573e+02, 2.213167849374785001e-01
1.363181571979999944e+02, 8.098714332573930363e+00, 2.782879245022412462e+00, 8.563692781544389732e+00, 2.641500042702809878e+02, 2.222972000385922409e-01
