# z (m), P_K (m^2/s^3), eps(m^2/s^3), G_K (m^2/s^3), D_K (m^2/s^3), P_Theta (K^2/s), eps_Theta (K^2/s), D_Theta (K^2/s)
8.350540718569999399e+01, 1.043554596681697463e-03, 8.354541054928902623e-04, -2.252553433766392400e-04, 1.429462097870470174e-05, 1.207601574545557574e-04, 1.208191695540414984e-04, 9.103437385732738489e-08
8.484104242380000471e+01, 1.017015684338758207e-03, 8.141480222426007718e-04, -2.199781777112967554e-04, 1.426691682749540150e-05, 1.189610897136334964e-04, 1.190585619344630025e-04, 1.255639367908735028e-07
8.618374273499999560e+01, 9.907013700715015195e-04, 7.930279161264679492e-04, -2.147122709287875293e-04, 1.421335059082200128e-05, 1.171469381936664927e-04, 1.172811362302777409e-04, 1.583009123083320176e-07
8.753354549120000172e+01, 9.646087709939705351e-04, 7.720909056097102850e-04, -2.094586612319760061e-04, 1.413500925101607666e-05, 1.153173140816207449e-04, 1.154865027842057608e-04, 1.892521081856775109e-07
8.889048826200000519e+01, 9.387354685911368166e-04, 7.513345313134287863e-04, -2.042184172793542335e-04, 1.403296748116784914e-05, 1.134718509081457545e-04, 1.136742951751682531e-04, 2.184256798301300079e-07
9.025460881559999393e+01, 9.130794908704057550e-04, 7.307567376407597204e-04, -1.989926391195957290e-04, 1.390828786603007488e-05, 1.116102035025712366e-04, 1.118441690903795106e-04, 2.458310871454402661e-07
9.162594512030000260e+01, 8.876392962910155567e-04, 7.103558561988849822e-04, -1.937824591718564980e-04, 1.376202132722364940e-05, 1.097320470101947540e-04, 1.099958012780992574e-04, 2.714790365147912519e-07
9.300453534499999364e+01, 8.624137594147395598e-04, 6.901305908925887186e-04, -1.885890432726967524e-04, 1.359520732702927587e-05, 1.078370759771960018e-04, 1.081288885668727558e-04, 2.953814388378739970e-07
9.439041786059999595e+01, 8.374021580934310361e-04, 6.700800045820292901e-04, -1.834135917705492574e-04, 1.340887442387517364e-05, 1.059250034630397370e-04, 1.062431469390020145e-04, 3.175514143900237077e-07
9.578363124089999303e+01, 8.126041621908894905e-04, 6.502035072256277326e-04, -1.782573407070035148e-04, 1.320404057381152345e-05, 1.039955602066047475e-04, 1.043383106500814944e-04, 3.380032529977204528e-07
9.718421426369999949e+01, 7.880198237444957293e-04, 6.305008454282770656e-04, -1.731215630647862415e-04, 1.298171361158902510e-05, 1.020484938002982412e-04, 1.024141313800552443e-04, 3.567524412384889841e-07
9.859220591209999895e+01, 7.636495685442577135e-04, 6.109720933504282896e-04, -1.680075701137087574e-04, 1.274289166339217407e-05, 1.000835678868102597e-04, 1.004703774097211427e-04, 3.738156174520205392e-07
1.000076453749999956e+02, 7.394941891395480360e-04, 5.916176449114589906e-04, -1.629167128599335007e-04, 1.248856357986887568e-05, 9.810056135861058239e-05, 9.850683280213485226e-05, 3.892107037619709720e-07
1.014305720499999950e+02, 7.155548390249857459e-04, 5.724382073253995616e-04, -1.578503836038200022e-04, 1.221970951403759945e-05, 9.609926754044220915e-05, 9.652329660261437395e-05, 4.029567220809929964e-07
1.028610255400000000e+02, 6.918330287097667567e-04, 5.534347958556454922e-04, -1.528100176606670053e-04, 1.193730077088560013e-05, 9.407949338199134094e-05, 9.451958200286794470e-05, 4.150740095667337650e-07
1.042990456609999939e+02, 6.683306224548484810e-04, 5.346087298723837785e-04, -1.477970951912520108e-04, 1.164230140257342448e-05, 9.204105857580624213e-05, 9.249551549956678133e-05, 4.255842946305337501e-07
1.057446724379999949e+02, 6.450498371682290236e-04, 5.159616302817022658e-04, -1.428131432612097422e-04, 1.133566722760457693e-05, 8.998379469310734948e-05, 9.045093604124552068e-05, 4.345104338934019926e-07
1.071979461070000070e+02, 6.219932425343080050e-04, 4.974954182296090731e-04, -1.378597380834580086e-04, 1.101834715517180039e-05, 8.790754423513175717e-05, 8.838569409580770021e-05, 4.418768145081152330e-07
1.086589071180000019e+02, 5.991637627178344160e-04, 4.792123152865746991e-04, -1.329385075038852504e-04, 1.069128335674597493e-05, 8.581215963956993927e-05, 8.629965069811730419e-05, 4.477092219851319913e-07
1.101275961340000009e+02, 5.765646800885628354e-04, 4.611148451545774973e-04, -1.280511337812060137e-04, 1.035541137102431307e-05, 8.369750223262772764e-05, 8.419267643252603662e-05, 4.520349158599760278e-07
1.116040540340000007e+02, 5.541996406839640090e-04, 4.432058370248337853e-04, -1.231993566879332558e-04, 1.001166081071142396e-05, 8.156344110135665829e-05, 8.206465034916592431e-05, 4.548827580678665097e-07
1.130883219130000015e+02, 5.320726619882357915e-04, 4.254884307890673036e-04, -1.183849770093172501e-04, 9.660955372043070587e-06, 7.940985190746759547e-05, 7.991545882534884545e-05, 4.562831830578432569e-07
1.145804410829999966e+02, 5.101881431455192704e-04, 4.079660842657427161e-04, -1.136098604976585095e-04, 9.304213300100111001e-06, 7.723661562610464990e-05, 7.774499434896189952e-05, 4.562683567056789913e-07
1.160804530749999941e+02, 4.885508778991567210e-04, 3.906425827528540204e-04, -1.088759423661764974e-04, 8.942347661070095270e-06, 7.504361722524506887e-05, 7.555315425596185845e-05, 4.548722026989619960e-07
1.175883996390000021e+02, 4.671660708708505081e-04, 3.735220512206482123e-04, -1.041852324319314960e-04, 8.576266453152140370e-06, 7.283074430887427847e-05, 7.333983942582702239e-05, 4.521304498609607632e-07
1.191043227459999940e+02, 4.460393575418537793e-04, 3.566089695206862390e-04, -9.953982101952567752e-05, 8.206873105958150430e-06, 7.059788574451740626e-05, 7.110495295322079876e-05, 4.480808475594659778e-07
1.206282645910000042e+02, 4.251768284065535154e-04, 3.399081912574142424e-04, -9.494188577425359836e-05, 7.835066486978405572e-06, 6.834493032868729193e-05, 6.884839890483653306e-05, 4.427630000682124688e-07
1.221602675879999964e+02, 4.045850589451134962e-04, 3.234249667586540323e-04, -9.039369959946264412e-05, 7.461741027108537874e-06, 6.607176559166535209e-05, 6.657008113584577140e-05, 4.362186439233520174e-07
